iter	RMSE
0	28.6345504
1	27.5333209
2	26.3669679
3	25.25276664
4	24.48842835
5	23.61851333
6	22.98767188
7	22.23446428
8	21.55167466
9	20.99801795
10	20.52485783
11	20.06636089
12	19.60286064
13	19.20447178
14	18.84162546
15	18.35131933
16	18.06876781
17	17.70265731
18	17.34616132
19	17.05425441
20	16.79146916
21	16.50187788
22	16.19007817
23	15.86473072
24	15.68249977
25	15.41352229
26	15.03033199
27	14.90639592
28	14.61383064
29	14.41365786
30	14.23195635
31	14.14576404
32	13.99249611
33	13.8849527
34	13.56242413
35	13.30102468
36	13.23139673
37	12.96779989
38	12.73497093
39	12.6736098
40	12.58370439
41	12.39899922
42	12.16394675
43	12.01053669
44	11.71674041
45	11.56733731
46	11.43248919
47	11.3633569
48	11.23823134
49	11.10747498
50	10.91014862
51	10.78098024
52	10.67333628
53	10.5498962
54	10.43828552
55	10.34367005
56	10.24449201
57	10.15163723
58	10.07217638
59	9.99719185
60	9.890221361
61	9.823516121
62	9.754255588
63	9.590792599
64	9.433510599
65	9.37971617
66	9.229100097
67	9.173324122
68	9.133346175
69	8.989770766
70	8.851679166
71	8.718863502
72	8.463107195
73	8.338376088
74	8.302974264
75	8.183818796
76	7.948097306
77	7.9145239
78	7.890849603
79	7.667997613
80	7.636327362
81	7.529272069
82	7.321674468
83	7.291679589
84	7.263564113
85	7.066972739
86	7.046071742
87	7.019489536
88	6.833984459
89	6.814351056
90	6.721649989
91	6.598889923
92	6.580360587
93	6.533810611
94	6.367056899
95	6.322821638
96	6.280960487
97	6.177706201
98	6.07884958
99	6.030401969
100	5.881421035
101	5.843457809
102	5.752497358
103	5.665360628
104	5.629346239
105	5.496041748
106	5.452547518
107	5.372133989
108	5.339192216
109	5.262058933
110	5.178720182
111	5.147277892
112	5.076145045
113	4.9990604
114	4.96059655
115	4.886255958
116	4.84932263
117	4.82072132
118	4.748805645
119	4.714159845
120	4.644760911
121	4.618020728
122	4.558697098
123	4.5026758
124	4.469553716
125	4.40644543
126	4.356893425
127	4.324806256
128	4.273870115
129	4.248562128
130	4.224579109
131	4.177694435
132	4.148137922
133	4.090678389
134	4.046568906
135	4.023717659
136	3.995744849
137	3.950049666
138	3.92869691
139	3.887004149
140	3.860657705
141	3.808333623
142	3.739822211
143	3.714086546
144	3.676012533
145	3.656050467
146	3.63714038
147	3.573679009
148	3.54980855
149	3.513839328
150	3.491122185
151	3.432343792
152	3.41484557
153	3.398724702
154	3.356566699
155	3.335217007
156	3.322834362
157	3.311087642
158	3.270363761
159	3.234780157
160	3.220000746
161	3.20909948
162	3.174823684
163	3.142052094
164	3.128193423
165	3.092840954
166	3.059058778
167	3.045572279
168	3.013048069
169	2.985112773
170	2.969822985
171	2.948724472
172	2.905304971
173	2.890545564
174	2.870046714
175	2.856032736
176	2.828472973
177	2.808571518
178	2.795137426
179	2.768397354
180	2.749082078
181	2.736199888
182	2.710254296
183	2.691513834
184	2.666460634
185	2.653984228
186	2.62988742
187	2.611498158
188	2.588229274
189	2.570499306
190	2.558318841
191	2.532391188
192	2.520746034
193	2.498753119
194	2.481361679
195	2.448272868
196	2.436933969
197	2.41979816
198	2.399466273
199	2.38320084
200	2.36362965
201	2.355606818
202	2.344882764
203	2.307293644
204	2.291223007
205	2.279336204
206	2.264609711
207	2.249158415
208	2.226775707
209	2.215707145
210	2.205621203
211	2.187474748
212	2.173479113
213	2.1560148
214	2.145528141
215	2.130548655
216	2.117456575
217	2.096442799
218	2.081953505
219	2.073451473
220	2.056739195
221	2.044000475
222	2.011705145
223	1.999323466
224	1.990095962
225	1.978237057
226	1.958501489
227	1.944885183
228	1.936099864
229	1.923079241
230	1.90753669
231	1.896319134
232	1.883763554
233	1.868713487
234	1.860319378
235	1.852133305
236	1.837580472
237	1.824695864
238	1.806333027
239	1.792753368
240	1.782207189
241	1.769934329
242	1.756752971
243	1.746537213
244	1.734700572
245	1.708706035
246	1.698717136
247	1.691206951
248	1.681644247
249	1.664611696
250	1.653570779
251	1.646516531
252	1.635962651
253	1.623615141
254	1.612467093
255	1.600645067
256	1.591784486
257	1.581471623
258	1.565430722
259	1.558747731
260	1.54751321
261	1.53885773
262	1.529057519
263	1.518164738
264	1.503184535
265	1.493697607
266	1.485296783
267	1.476226776
268	1.465867893
269	1.45765568
270	1.453628205
271	1.432939211
272	1.426773621
273	1.421055908
274	1.41520056
275	1.410605376
276	1.395868062
277	1.38846455
278	1.380056222
279	1.364536975
280	1.360200001
281	1.340443215
282	1.333431703
283	1.325267919
284	1.318550589
285	1.310783874
286	1.301547032
287	1.295050165
288	1.291285956
289	1.277071972
290	1.269597253
291	1.251937191
292	1.24562389
293	1.239614831
294	1.236130727
295	1.218219013
296	1.211191995
297	1.200478871
298	1.193772286
299	1.187888939
300	1.175372971
301	1.168916135
302	1.1589202
303	1.152757408
304	1.13569381
305	1.129972013
306	1.124528433
307	1.121536564
308	1.115601895
309	1.110437304
310	1.100959301
311	1.089710332
312	1.083949807
313	1.081238531
314	1.072521597
315	1.067448602
316	1.051658931
317	1.04432351
318	1.036048119
319	1.026098593
320	1.020729122
321	1.014000752
322	1.006217831
323	0.9968151466
324	0.989426739
325	0.9828388219
326	0.9757371464
327	0.9616337684
328	0.9553389958
329	0.9486303282
330	0.9396341922
331	0.9335940002
332	0.927074907
333	0.9209187677
334	0.9122287009
335	0.9063082255
336	0.9003094564
337	0.8917773249
338	0.8860248917
339	0.8732420623
340	0.8679869258
341	0.8624385916
342	0.8545560518
343	0.8493456192
344	0.8435135731
345	0.83595551
346	0.8309524285
347	0.8252793988
348	0.8199199732
349	0.8126153083
350	0.8077036582
351	0.802479536
352	0.7911096211
353	0.7862211421
354	0.7831907695
355	0.7783694539
356	0.7733965513
357	0.7705263496
358	0.7634866984
359	0.7588901919
360	0.7541793133
361	0.7519625872
362	0.7413645026
363	0.7368520072
364	0.7325746351
365	0.7253044172
366	0.7236729968
367	0.7195934223
368	0.7176602904
369	0.713125154
370	0.7067389118
371	0.6997669011
372	0.6956740643
373	0.6858512461
374	0.6834419359
375	0.6791761284
376	0.6752857375
377	0.6701822089
378	0.6661970498
379	0.6624132243
380	0.6606606095
381	0.6521192959
382	0.648610428
383	0.6452803823
384	0.6439844581
385	0.6420415366
386	0.638327174
387	0.6341020205
388	0.6261252235
389	0.6230173152
390	0.6155626343
391	0.6126619046
392	0.6115068202
393	0.6061540964
394	0.6033867553
395	0.6020615293
396	0.5994556455
397	0.5962721903
398	0.5892652349
399	0.5858283188
400	0.5824114644
401	0.5757768778
402	0.5734150379
403	0.5702962094
404	0.5673296225
405	0.5631464478
406	0.5569188438
407	0.5527777145
408	0.5494937064
409	0.5454971065
410	0.5397504526
411	0.5375991837
412	0.5338252615
413	0.53098885
414	0.5261246626
415	0.5225009524
416	0.5198029439
417	0.5160760939
418	0.5100264135
419	0.5065037931
420	0.5007513879
421	0.4954674831
422	0.4921345024
423	0.4872120191
424	0.4852840338
425	0.4820789742
426	0.4795232555
427	0.4750791126
428	0.4721447763
429	0.4665390395
430	0.4632464857
431	0.45874438
432	0.4557863916
433	0.4503568614
434	0.4476522394
435	0.4435929833
436	0.4394859421
437	0.4367894775
438	0.4342702146
439	0.4318128055
440	0.4287576133
441	0.4235262023
442	0.4197073439
443	0.4174049109
444	0.413858319
445	0.4115467005
446	0.4078974193
447	0.4049419541
448	0.4002551991
449	0.3975139238
450	0.3942101363
451	0.3913986718
452	0.3876720918
453	0.382932645
454	0.3808178574
455	0.3772091871
456	0.3750252461
457	0.3717883832
458	0.3696321212
459	0.3665141443
460	0.3639211479
461	0.360622842
462	0.3561492661
463	0.3538816571
464	0.3518768929
465	0.347775076
466	0.345850408
467	0.3434716489
468	0.3394171579
469	0.3364490897
470	0.3345279716
471	0.3322744051
472	0.3283617945
473	0.3255829213
474	0.3236685077
475	0.3209051309
476	0.3191337104
477	0.3154378113
478	0.3136660198
479	0.3115223417
480	0.3078970943
481	0.3052919984
482	0.3035183733
483	0.3009816557
484	0.2988962376
485	0.2970831881
486	0.2954008137
487	0.2923935159
488	0.2900236468
489	0.2883867842
490	0.2867416368
491	0.2852038549
492	0.2832163264
493	0.2798206377
494	0.2779417486
495	0.2757536207
496	0.2743001372
497	0.271934755
498	0.2698837721
499	0.2684580848
